timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude
"27/03/2025, 18:44:09",,,"0,00",,
"27/03/2025, 18:49:49","43,423853","-3,822962","60,11","0,000","15,4"
"27/03/2025, 18:53:35","43,423829","-3,822951","120,55","0,000","17,4"
"27/03/2025, 18:57:08","43,423670","-3,822907","180,57","0,000","51,4"
"27/03/2025, 18:58:02","43,424100","-3,823174","241,48","2,501","19,8"
"27/03/2025, 18:58:23","43,424250","-3,822583","301,73","3,032","4,6"
"27/03/2025, 18:58:40","43,424048","-3,821860","364,65","3,592","9,8"
"27/03/2025, 18:58:58","43,424026","-3,821137","427,53","3,350","12,8"
"27/03/2025, 18:59:13","43,424548","-3,820872","489,46","4,703","4,4"
"27/03/2025, 18:59:25","43,425061","-3,820584","551,11","5,365","-2,0"
"27/03/2025, 18:59:29","43,425241","-3,820442","574,28","5,738","-4,2"
"27/03/2025, 18:59:31","43,425316","-3,820341","586,00","5,813","-4,2"
"27/03/2025, 18:59:33","43,425370","-3,820223","597,28","5,925","-3,4"
"27/03/2025, 18:59:35","43,425400","-3,820082","609,19","6,056","-3,0"
"27/03/2025, 18:59:37","43,425401","-3,819961","618,99","5,701","-1,0"
"27/03/2025, 18:59:48","43,425221","-3,819244","680,36","5,291","1,6"
"27/03/2025, 18:59:59","43,424984","-3,818567","741,03","5,524","0,8"
"27/03/2025, 19:00:10","43,424735","-3,817896","801,81","5,328","-4,2"
"27/03/2025, 19:00:22","43,424555","-3,817167","864,12","5,337","-1,2"
"27/03/2025, 19:00:34","43,424428","-3,816394","927,61","5,710","4,2"
"27/03/2025, 19:00:45","43,424238","-3,815641","992,12","6,373","5,2"
"27/03/2025, 19:00:55","43,424062","-3,814893","1055,70","6,541","11,4"
"27/03/2025, 19:01:05","43,423888","-3,814171","1117,29","6,037","15,0"
"27/03/2025, 19:01:11","43,423833","-3,813742","1152,58","5,598","14,2"
"27/03/2025, 19:01:13","43,423838","-3,813619","1162,08","5,458","10,2"
"27/03/2025, 19:01:15","43,423898","-3,813518","1172,94","5,682","6,6"
"27/03/2025, 19:01:17","43,423988","-3,813432","1185,18","6,130","4,0"
"27/03/2025, 19:01:26","43,424504","-3,813148","1246,86","5,888","-0,4"
"27/03/2025, 19:01:34","43,424901","-3,812910","1295,26","5,524","-1,4"
"27/03/2025, 19:01:36","43,424977","-3,812807","1307,14","5,832","-1,0"
"27/03/2025, 19:01:38","43,425025","-3,812679","1318,87","5,804","-1,6"
"27/03/2025, 19:01:42","43,425057","-3,812399","1341,92","6,009","-1,2"
"27/03/2025, 19:01:52","43,424879","-3,811687","1402,91","6,392","0,4"
"27/03/2025, 19:02:01","43,424678","-3,810990","1463,63","7,073","2,8"
"27/03/2025, 19:02:09","43,424498","-3,810276","1524,79","7,875","8,0"
"27/03/2025, 19:02:17","43,424300","-3,809495","1591,78","8,463","9,8"
"27/03/2025, 19:02:26","43,424093","-3,808755","1655,77","4,525","5,8"
"27/03/2025, 19:02:41","43,423902","-3,808042","1717,18","4,731","1,8"
"27/03/2025, 19:02:52","43,423676","-3,807375","1777,60","5,626","1,8"
"27/03/2025, 19:02:53","43,423636","-3,807331","1783,30","5,477","2,2"
"27/03/2025, 19:03:05","43,423189","-3,806846","1846,90","4,955","1,2"
"27/03/2025, 19:03:22","43,423224","-3,806205","1909,83","2,305","2,4"
"27/03/2025, 19:04:30","43,423597","-3,806492","1970,67","0,681","-15,6"
"27/03/2025, 19:05:27","43,423619","-3,807137","2035,26","9,069","-3,6"
"27/03/2025, 19:05:31","43,423858","-3,807880","2100,72","12,354","-5,0"
"27/03/2025, 19:05:34","43,424079","-3,808747","2175,07","16,777","-2,8"
"27/03/2025, 19:05:36","43,424309","-3,809525","2243,24","20,891","-1,8"
"27/03/2025, 19:05:38","43,424664","-3,810396","2323,84","25,165","-0,4"
"27/03/2025, 19:05:40","43,425049","-3,811404","2416,00","29,625","0,6"
"27/03/2025, 19:05:42","43,425488","-3,812484","2516,04","33,385","-8,4"
"27/03/2025, 19:05:44","43,425943","-3,813724","2628,54","37,724","-11,4"
"27/03/2025, 19:05:45","43,426185","-3,814395","2689,13","40,113","-11,4"
"27/03/2025, 19:05:46","43,426415","-3,815104","2751,87","42,361","-11,4"
"27/03/2025, 19:05:47","43,426658","-3,815844","2817,50","44,638","-11,2"
"27/03/2025, 19:05:49","43,427130","-3,817126","2933,73","47,344","-11,8"
"27/03/2025, 19:05:50","43,427373","-3,817803","2994,89","48,809","-12,4"
"27/03/2025, 19:05:51","43,427613","-3,818502","3057,30","50,143","-12,8"
"27/03/2025, 19:05:52","43,427841","-3,819277","3124,70","51,599","-13,8"
"27/03/2025, 19:05:53","43,428036","-3,821505","3298,89","60,510","-13,4"
"27/03/2025, 19:05:54","43,428266","-3,822490","3382,32","62,413","-14,0"
"27/03/2025, 19:05:55","43,428511","-3,823525","3470,08","64,811","-14,2"
"27/03/2025, 19:05:56","43,428773","-3,824604","3561,94","2,214","-14,2"
"27/03/2025, 19:05:57","43,429031","-3,825882","3668,54","6,656","-14,2"
"27/03/2025, 19:05:58","43,429318","-3,827022","3766,10","7,505","-14,0"
"27/03/2025, 19:05:59","43,429609","-3,828036","3854,35","8,037","-12,6"
"27/03/2025, 19:06:00","43,429892","-3,829039","3941,47","8,708","-10,6"
"27/03/2025, 19:06:01","43,430182","-3,830038","4028,52","9,315","-7,6"
"27/03/2025, 19:06:02","43,430479","-3,831043","4116,37","9,809","-3,0"
"27/03/2025, 19:06:03","43,430793","-3,832350","4227,55","13,850","6,8"
"27/03/2025, 19:06:04","43,431106","-3,833460","4323,91","17,703","17,4"
"27/03/2025, 19:06:05","43,431417","-3,834521","4416,51","17,880","25,4"
"27/03/2025, 19:06:06","43,431728","-3,835536","4505,70","18,132","33,6"
"27/03/2025, 19:06:07","43,432021","-3,836413","4583,80","17,115","45,4"
"27/03/2025, 19:06:08","43,432309","-3,837310","4663,12","16,723","57,0"
"27/03/2025, 19:06:09","43,432553","-3,838171","4737,88","15,781","75,8"
"27/03/2025, 19:06:10","43,432793","-3,839081","4816,15","15,156","92,6"
"27/03/2025, 19:06:11","43,433035","-3,839974","4893,27","14,736","109,6"
"27/03/2025, 19:06:12","43,433287","-3,840880","4971,78","14,633","127,0"
"27/03/2025, 19:06:13","43,433544","-3,841803","5051,74","14,652","144,8"
"27/03/2025, 19:06:14","43,433801","-3,842732","5132,23","15,016","162,0"
"27/03/2025, 19:06:15","43,434062","-3,843659","5212,68","14,997","179,2"
"27/03/2025, 19:06:16","43,434336","-3,844580","5293,19","15,100","195,8"
"27/03/2025, 19:06:17","43,434607","-3,845501","5373,66","14,979","212,4"
"27/03/2025, 19:06:18","43,434883","-3,846417","5453,89","14,792","227,8"
"27/03/2025, 19:06:19","43,435159","-3,847321","5533,26","14,419","242,8"
"27/03/2025, 19:06:20","43,435430","-3,848235","5613,10","14,568","258,2"
"27/03/2025, 19:06:21","43,435714","-3,849143","5693,09","14,577","269,8"
"27/03/2025, 19:06:22","43,435987","-3,850071","5774,11","14,820","281,8"
"27/03/2025, 19:06:23","43,436260","-3,851011","5855,98","15,165","292,4"
"27/03/2025, 19:06:24","43,436538","-3,851956","5938,46","15,781","302,2"
"27/03/2025, 19:06:25","43,436803","-3,852925","6022,19","16,490","312,6"
"27/03/2025, 19:06:26","43,437078","-3,853886","6105,76","17,069","321,8"
"27/03/2025, 19:06:27","43,437354","-3,854851","6189,67","17,843","332,0"
"27/03/2025, 19:06:28","43,437628","-3,855832","6274,73","18,804","343,0"
"27/03/2025, 19:06:29","43,437907","-3,856814","6360,07","19,093","354,0"
"27/03/2025, 19:06:30","43,438186","-3,857809","6446,39","19,719","364,8"
"27/03/2025, 19:06:31","43,438454","-3,858819","6533,32","20,577","377,0"
"27/03/2025, 19:06:32","43,438717","-3,859844","6621,28","21,183","388,4"
"27/03/2025, 19:06:33","43,438986","-3,860877","6709,97","21,809","399,6"
"27/03/2025, 19:06:34","43,439266","-3,861910","6799,21","22,564","410,2"
"27/03/2025, 19:06:35","43,439544","-3,862954","6889,24","23,208","421,0"
"27/03/2025, 19:06:36","43,439825","-3,864005","6979,86","23,927","431,6"
"27/03/2025, 19:06:37","43,440091","-3,865074","7071,25","24,589","443,6"
"27/03/2025, 19:06:38","43,440376","-3,866146","7163,63","25,662","453,6"
"27/03/2025, 19:06:39","43,440670","-3,867217","7256,30","26,418","463,4"
"27/03/2025, 19:06:40","43,440951","-3,868317","7350,64","26,959","473,8"
"27/03/2025, 19:06:41","43,441232","-3,869432","7446,09","27,659","485,0"
"27/03/2025, 19:06:42","43,441522","-3,870553","7542,40","28,695","496,0"
"27/03/2025, 19:06:43","43,441819","-3,871671","7638,75","29,096","506,2"
"27/03/2025, 19:06:44","43,442118","-3,872797","7735,72","29,973","516,6"
"27/03/2025, 19:06:45","43,442426","-3,873922","7833,01","30,794","526,6"
"27/03/2025, 19:06:46","43,442737","-3,875057","7931,14","31,522","536,6"
"27/03/2025, 19:06:47","43,443051","-3,876228","8032,20","32,548","543,0"
"27/03/2025, 19:06:48","43,443365","-3,877415","8134,36","33,593","547,8"
"27/03/2025, 19:06:49","43,443682","-3,878594","8236,07","34,069","553,6"
"27/03/2025, 19:06:50","43,444000","-3,879769","8337,57","34,722","559,6"
"27/03/2025, 19:06:51","43,444315","-3,880961","8440,24","35,581","566,4"
"27/03/2025, 19:06:52","43,444634","-3,882157","8543,36","36,234","572,0"
"27/03/2025, 19:06:53","43,444954","-3,883362","8647,10","37,260","577,6"
"27/03/2025, 19:06:54","43,445284","-3,884569","8751,53","37,792","582,2"
"27/03/2025, 19:06:55","43,445611","-3,885798","8857,40","39,126","587,2"
"27/03/2025, 19:06:56","43,445919","-3,887073","8966,03","40,246","596,0"
"27/03/2025, 19:06:57","43,446240","-3,888336","9074,30","41,291","603,0"
"27/03/2025, 19:06:58","43,446571","-3,889597","9182,82","42,066","609,4"
"27/03/2025, 19:06:59","43,446904","-3,890874","9292,59","43,064","617,2"
"27/03/2025, 19:07:00","43,447260","-3,892177","9405,27","44,109","623,4"
"27/03/2025, 19:07:01","43,447620","-3,893482","9518,21","44,501","629,4"
"27/03/2025, 19:07:02","43,447984","-3,894795","9631,92","45,714","636,0"
"27/03/2025, 19:07:03","43,448345","-3,896123","9746,69","47,039","643,2"
"27/03/2025, 19:07:04","43,448708","-3,897459","9862,11","47,879","650,8"
"27/03/2025, 19:07:05","43,449069","-3,898800","9977,82","48,662","658,8"
"27/03/2025, 19:07:06","43,449422","-3,900165","10095,05","50,305","669,6"
"27/03/2025, 19:07:07","43,449781","-3,901534","10212,83","50,958","679,2"
"27/03/2025, 19:07:08","43,450140","-3,902905","10330,83","51,182","689,8"
"27/03/2025, 19:07:09","43,450500","-3,904281","10449,16","51,713","701,0"
"27/03/2025, 19:07:10","43,450863","-3,905652","10567,23","52,432","713,4"
"27/03/2025, 19:07:11","43,451221","-3,907022","10685,07","52,926","727,8"
"27/03/2025, 19:07:12","43,451591","-3,908375","10802,02","52,731","742,4"
"27/03/2025, 19:07:13","43,451963","-3,909746","10920,44","52,721","755,4"
"27/03/2025, 19:07:14","43,452340","-3,911105","11038,10","52,749","770,8"
"27/03/2025, 19:07:15","43,452707","-3,912467","11155,68","52,777","787,2"
"27/03/2025, 19:07:16","43,453071","-3,913849","11274,58","52,908","802,6"
"27/03/2025, 19:07:17","43,453429","-3,915241","11394,11","53,486","820,8"
"27/03/2025, 19:07:18","43,453790","-3,916630","11513,45","53,458","839,2"
"27/03/2025, 19:07:19","43,454157","-3,918004","11631,95","53,281","857,8"
"27/03/2025, 19:07:20","43,454517","-3,919386","11750,75","53,272","877,0"
"27/03/2025, 19:07:21","43,454881","-3,920758","11868,95","53,001","895,6"
"27/03/2025, 19:07:22","43,455245","-3,922128","11986,98","53,010","914,8"
"27/03/2025, 19:07:23","43,455610","-3,923492","12104,64","52,628","934,0"
"27/03/2025, 19:07:24","43,455975","-3,924854","12222,05","52,432","953,4"
"27/03/2025, 19:07:25","43,456336","-3,926220","12339,74","52,012","972,6"
"27/03/2025, 19:07:26","43,456684","-3,927610","12458,64","52,003","991,6"
"27/03/2025, 19:07:27","43,457044","-3,928985","12576,99","51,984","1010,4"
