Nombre,Distancia_total(m),Distancia_par(m),Distancia_impar(m),Altitud(m),Velocidad(m/s)
1_2_Maratón_de_Santander.gpx,21069.49177501385,20862.376275671133,20915.356089827143,108.59999999999978,0
1_2_maratón_Santander.gpx,21508.855880871237,21440.432082474672,21436.016802538827,213.59999999999772,0
21k_MM_Santander_2024.gpx,21553.560284951312,21377.628430164867,21424.97777388913,227.79999999999643,0
21k_Santander_MMP_.gpx,21588.993355723018,21569.522955529796,21554.11099658929,230.60000000000005,0
Carrera_de_mañana(1).gpx,22709.989625004833,22556.56621175747,22650.059317219977,128.19999999999865,0
Carrera_de_mañana(10).gpx,21317.899991542774,21183.090977732125,21175.087662940747,97.19999999999983,0
Carrera_de_mañana(2).gpx,21241.245773453098,21147.855387556687,21149.960073001665,127.89999999999878,0
Carrera_de_mañana(3).gpx,20911.22827219987,20792.519324337554,20792.95354633532,220.99999999999915,0
Carrera_de_mañana(4).gpx,20946.185126443408,20810.534610297742,20719.75834699263,98.60000000000004,0
Carrera_de_mañana(5).gpx,21005.743517808114,20947.113248626272,20933.045609996323,370.59999999999445,0
Carrera_de_mañana(6).gpx,22056.610670447884,21836.263998890423,21837.117852217354,130.09999999999886,0
Carrera_de_mañana(7).gpx,21067.71483610741,20846.692153322372,20921.38049344748,289.59999999999934,0
Carrera_de_mañana(8).gpx,21548.78423640975,21435.956501458648,21333.173437646212,131.19999999999874,0
Carrera_de_mañana(9).gpx,21172.842454229583,20996.39127881471,20973.66964717251,106.5999999999997,0
Día_76_244_De_0_a_correr_mi_primera_maratón.gpx,20954.23403782332,20940.208784243398,20936.752377269626,116.60000000000106,0
Half_marathon_Santander.gpx,21467.814194688166,21303.70469349338,21274.64273381994,216.99999999999955,0
Media_Maraton_Santander.gpx,21471.112638156505,21276.615162536225,21293.428108167715,280.59999999999917,0
Media_Maraton_Santander_2024_.gpx,21490.31312325533,21400.641686702584,21407.04429601156,137.40000000000063,0
Media_Maraton_Santander_Ayunas.gpx,21046.626476295576,20868.200579200973,20915.744408508242,310.5999999999991,0
Media_Maratón.gpx,22842.906934408333,22404.886484573388,22006.016936887157,148.79999999999797,0
Media_maratón_de_Santander(1).gpx,20999.059703531395,20936.08444314253,20938.45725757508,161.20000000000005,0
Media_Maratón_Santander_.gpx,21143.627438854495,21013.885045084324,20994.240136453307,133.0000000000009,0
Media_Maratón_Santander_2024(1).gpx,21315.782109782125,20968.632829673916,21085.21525965315,231.9999999999994,0
Media_Maratón_Santander_2024(2).gpx,21776.495666990202,21669.341341627925,21682.652979671035,246.59999999999624,0
media_maratón_santander_2024.gpx,21346.74304420558,21243.806586156155,21241.51275554843,95.19999999999979,0
Media_Santander_.gpx,21459.226258312454,21316.780854074237,21269.64631506366,248.79999999999922,0
MM_Santander_2024.gpx,21171.956084475183,21122.500830737787,21118.780575168443,269.39999999999617,0
Morning_Run(1).gpx,21250.857479213766,21096.236929152554,21043.331830700845,97.09999999999992,0
Morning_Run(2).gpx,21021.88438986066,20837.39415371899,20832.621552337765,92.09999999999998,0
Morning_Run(3).gpx,21410.17511497582,21257.711524486702,21249.55952535252,119.79999999999959,0
Morning_Run(4).gpx,21437.793920936845,21376.712660292975,21357.37175678705,309.0,0
Morning_Run(5).gpx,21437.793920936845,21376.712660292975,21357.37175678705,309.0,0
Morning_Run(6).gpx,21441.134827988742,21271.773713829803,21289.57639076323,103.7999999999997,0
Morning_Run(7).gpx,21445.609159762036,21374.256561888054,21370.438275264394,104.99999999999898,0
Morning_Run(8).gpx,21690.75074632577,21597.306558752003,21598.241920021468,222.99999999999775,0
Morning_Run.gpx,20755.250176160967,20567.3183894982,20516.005282283175,92.59999999999985,0
Morning_Run_Media_Maratón_Santander_2024.gpx,20808.32684490828,20760.072080451228,20754.671965064113,103.39999999999895,0
Santander_Half_.gpx,20917.377629227547,20891.95145467826,20892.29551753074,111.000000000001,0
