Nombre,Distancia_total(m),Altitud(m),Velocidad(m/s)
Bicicleta_por_la_mañana (1).gpx,38540.502930506016,440.7999999999901,0
Bicicleta_por_la_mañana (2).gpx,38560.23443397749,407.7999999999931,0
Bicicleta_por_la_mañana (3).gpx,38924.7942441875,699.2000000000035,0
Bicicleta_por_la_mañana (4).gpx,38788.94547856954,599.3999999999979,0
Bicicleta_por_la_mañana (5).gpx,39191.851992802054,548.1999999999928,0
Bicicleta_por_la_mañana (6).gpx,40404.573293194364,742.200000000003,0
Bicicleta_por_la_mañana (7).gpx,5060.133819629877,95.40000000000035,0
Bicicleta_por_la_mañana (8).gpx,10087.467352306332,114.60000000000046,0
Bicicleta_por_la_mañana.gpx,78231.64699687742,843.0000000000135,0
Bici_Half_Santander.gpx,78163.8396295511,1004.0000000000139,0
Bici_TRI.gpx,38698.24265446506,461.9999999999985,0
Bike_Triatlón_Ciudad_Santander_2024.gpx,39312.01753190323,566.9999999999994,0
Ciclismo_40km_Triatlón_Santander_olímpico_.gpx,39531.68112151642,535.7999999999929,0
Ciclismo_Triatlón_Half_Santander.gpx,78188.4572730373,827.5000000000063,0
Half_Santander_sector_bici.gpx,78084.90955282001,1167.2000000000064,0
Morning_Ride (1).gpx,39225.3801588123,430.9999999999929,0
Morning_Ride (2).gpx,39036.83167600413,480.3999999999972,0
Morning_Ride (3).gpx,39010.49993651376,461.79999999999046,0
Morning_Ride (4).gpx,39209.97551088827,413.500000000001,0
Morning_Ride (5).gpx,38694.12908456994,440.1999999999976,0
Morning_Ride (6).gpx,39190.96308494526,0,0
Morning_Ride (7).gpx,38980.522295729905,402.79999999999166,0
Morning_Ride.gpx,78059.8519340823,823.1000000000197,0
Santander_Triathlon_bike.gpx,38467.09232151722,432.19999999999277,0
Triatlon_Ciudad_de_Santander_Ciclismo.gpx,38688.158797876844,508.9999999999978,0
Triatlon_Ciudad_de_Santander_S2.gpx,78210.52006763045,888.4000000000059,0
Triatlon_de_Santander_2024_Ride.gpx,37679.91733374742,387.7000000000024,0
Triatlón_Ciudad_de_Santander_Ride.gpx,39604.864459468736,246.09999999999735,0
Triatlón_de_Santander_.gpx,39323.332032081365,413.8000000000009,0
