Punto Inicial,Punto Final,Distancia (m)
"(np.float64(434712.92040367285), np.float64(4812388.0666529955))","(np.float64(434708.3837676649), np.float64(4812387.444203402))",4.579138539640587
"(np.float64(434708.3837676649), np.float64(4812387.444203402))","(np.float64(434705.95258096093), np.float64(4812387.023489732))",2.4673201619048224
"(np.float64(434705.95258096093), np.float64(4812387.023489732))","(np.float64(434703.4415741465), np.float64(4812386.714618819))",2.5299321064574745
"(np.float64(434703.4415741465), np.float64(4812386.714618819))","(np.float64(434698.73883864784), np.float64(4812385.649512035))",4.821843385231764
"(np.float64(434698.73883864784), np.float64(4812385.649512035))","(np.float64(434696.879305168), np.float64(4812385.7786029475))",1.8640089126368304
"(np.float64(434696.879305168), np.float64(4812385.7786029475))","(np.float64(434691.62859529286), np.float64(4812386.60697391))",5.31565166692057
"(np.float64(434691.62859529286), np.float64(4812386.60697391))","(np.float64(434689.2017131745), np.float64(4812386.630497891))",2.4269961256691133
"(np.float64(434689.2017131745), np.float64(4812386.630497891))","(np.float64(434686.85572712595), np.float64(4812386.653238572))",2.3460962637254004
"(np.float64(434686.85572712595), np.float64(4812386.653238572))","(np.float64(434683.14312078775), np.float64(4812387.577774913))",3.8259918018792263
"(np.float64(434683.14312078775), np.float64(4812387.577774913))","(np.float64(434682.09147200716), np.float64(4812387.587969857))",1.0516981955855966
"(np.float64(434682.09147200716), np.float64(4812387.587969857))","(np.float64(434676.5819261434), np.float64(4812386.752836692))",5.5724808683913585
"(np.float64(434676.5819261434), np.float64(4812386.752836692))","(np.float64(434674.3136058823), np.float64(4812386.441623726))",2.2895698978692596
"(np.float64(434674.3136058823), np.float64(4812386.441623726))","(np.float64(434672.12618147547), np.float64(4812386.129627166))",2.209562714373021
"(np.float64(434672.12618147547), np.float64(4812386.129627166))","(np.float64(434666.9337560985), np.float64(4812384.62501703))",5.40602746544959
"(np.float64(434666.9337560985), np.float64(4812384.62501703))","(np.float64(434664.50256548845), np.float64(4812384.20431828))",2.467321466793132
"(np.float64(434664.50256548845), np.float64(4812384.20431828))","(np.float64(434662.15119370713), np.float64(4812383.671778027))",2.410922722824854
"(np.float64(434662.15119370713), np.float64(4812383.671778027))","(np.float64(434656.8918695307), np.float64(4812383.611712835))",5.259667158661101
"(np.float64(434656.8918695307), np.float64(4812383.611712835))","(np.float64(434654.94820870954), np.float64(4812383.408426142))",1.9542627426095198
"(np.float64(434654.94820870954), np.float64(4812383.408426142))","(np.float64(434649.68349832733), np.float64(4812382.793077045))",5.300549963912984
"(np.float64(434649.68349832733), np.float64(4812382.793077045))","(np.float64(434648.1410860652), np.float64(4812382.252695501))",1.634334053895324
"(np.float64(434648.1410860652), np.float64(4812382.252695501))","(np.float64(434646.59867354983), np.float64(4812381.712314307))",1.6343341771286586
"(np.float64(434646.59867354983), np.float64(4812381.712314307))","(np.float64(434642.0652581082), np.float64(4812381.423082976))",4.542632532940512
"(np.float64(434642.0652581082), np.float64(4812381.423082976))","(np.float64(434640.0396226582), np.float64(4812381.109527377))",2.049760007753276
"(np.float64(434640.0396226582), np.float64(4812381.109527377))","(np.float64(434634.13204935397), np.float64(4812380.944699949))",5.909872285119467
"(np.float64(434634.13204935397), np.float64(4812380.944699949))","(np.float64(434631.94354358705), np.float64(4812380.521658493))",2.229018071896241
"(np.float64(434631.94354358705), np.float64(4812380.521658493))","(np.float64(434629.7550375315), np.float64(4812380.098617746))",2.2290182209688165
"(np.float64(434629.7550375315), np.float64(4812380.098617746))","(np.float64(434626.1880637801), np.float64(4812379.355747202))",3.6435090760332987
"(np.float64(434626.1880637801), np.float64(4812379.355747202))","(np.float64(434624.5647525725), np.float64(4812378.816155933))",1.710642573660825
"(np.float64(434624.5647525725), np.float64(4812378.816155933))","(np.float64(434618.73483976006), np.float64(4812378.317383337))",5.851209917896219
"(np.float64(434618.73483976006), np.float64(4812378.317383337))","(np.float64(434616.71135756356), np.float64(4812378.225950546))",2.025546877970063
"(np.float64(434616.71135756356), np.float64(4812378.225950546))","(np.float64(434614.68679756037), np.float64(4812378.023460453))",2.0346610145149397
"(np.float64(434614.68679756037), np.float64(4812378.023460453))","(np.float64(434609.4166895354), np.float64(4812376.852853211))",5.398551649402419
"(np.float64(434609.4166895354), np.float64(4812376.852853211))","(np.float64(434606.8992065813), np.float64(4812375.877670759))",2.699759477750212
"(np.float64(434606.8992065813), np.float64(4812375.877670759))","(np.float64(434604.4636970129), np.float64(4812375.012761985))",2.5845258841098318
"(np.float64(434604.4636970129), np.float64(4812375.012761985))","(np.float64(434600.25385958375), np.float64(4812374.720418072))",4.21997584629091
"(np.float64(434600.25385958375), np.float64(4812374.720418072))","(np.float64(434598.5561168583), np.float64(4812374.84796568))",1.702527166890441
"(np.float64(434598.5561168583), np.float64(4812374.84796568))","(np.float64(434593.0551736312), np.float64(4812374.901363848))",5.5012023915333375
"(np.float64(434593.0551736312), np.float64(4812374.901363848))","(np.float64(434590.70810500224), np.float64(4812374.8130800575))",2.348728416944678
"(np.float64(434590.70810500224), np.float64(4812374.8130800575))","(np.float64(434588.28121824184), np.float64(4812374.836640345))",2.427001119681139
"(np.float64(434588.28121824184), np.float64(4812374.836640345))","(np.float64(434583.59031541954), np.float64(4812374.993250621))",4.693516386112618
"(np.float64(434583.59031541954), np.float64(4812374.993250621))","(np.float64(434581.9691561051), np.float64(4812374.675785378))",1.6519508780099807
"(np.float64(434581.9691561051), np.float64(4812374.675785378))","(np.float64(434576.38731636223), np.float64(4812374.729982586))",5.582102852158635
"(np.float64(434576.38731636223), np.float64(4812374.729982586))","(np.float64(434573.79863705946), np.float64(4812374.755119094))",2.5888013397423206
"(np.float64(434573.79863705946), np.float64(4812374.755119094))","(np.float64(434571.21103621036), np.float64(4812374.891314499))",2.5911826147008385
"(np.float64(434571.21103621036), np.float64(4812374.891314499))","(np.float64(434566.67329779465), np.float64(4812374.157902187))",4.596625234805418
"(np.float64(434566.67329779465), np.float64(4812374.157902187))","(np.float64(434564.9669269306), np.float64(4812373.396995021))",1.8683364901825898
"(np.float64(434564.9669269306), np.float64(4812373.396995021))","(np.float64(434560.1239385605), np.float64(4812374.554714054))",4.979442710981702
"(np.float64(434560.1239385605), np.float64(4812374.554714054))","(np.float64(434558.27087589155), np.float64(4812375.350190645))",2.0165872810663235
"(np.float64(434558.27087589155), np.float64(4812375.350190645))","(np.float64(434556.4167349535), np.float64(4812376.034609845))",1.9764281568413247
"(np.float64(434556.4167349535), np.float64(4812376.034609845))","(np.float64(434550.7626302311), np.float64(4812376.978077288))",5.732279740904636
"(np.float64(434550.7626302311), np.float64(4812376.978077288))","(np.float64(434548.0908978076), np.float64(4812376.781893677))",2.678925559207055
"(np.float64(434548.0908978076), np.float64(4812376.781893677))","(np.float64(434545.50006141694), np.float64(4812376.584925255))",2.5983128685042987
"(np.float64(434545.50006141694), np.float64(4812376.584925255))","(np.float64(434541.1349029317), np.float64(4812376.960537445))",4.381288979125906
"(np.float64(434541.1349029317), np.float64(4812376.960537445))","(np.float64(434539.67769224825), np.float64(4812376.8636263255))",1.4604296425951555
"(np.float64(434539.67769224825), np.float64(4812376.8636263255))","(np.float64(434534.5952589537), np.float64(4812378.356895337))",5.297261607097209
"(np.float64(434534.5952589537), np.float64(4812378.356895337))","(np.float64(434532.3269283403), np.float64(4812378.045730071))",2.2895736708430108
"(np.float64(434532.3269283403), np.float64(4812378.045730071))","(np.float64(434529.97878043953), np.float64(4812377.84640953))",2.356592294370119
"(np.float64(434529.97878043953), np.float64(4812377.84640953))","(np.float64(434525.05922146735), np.float64(4812379.449171561))",5.1740609396251145
"(np.float64(434525.05922146735), np.float64(4812379.449171561))","(np.float64(434523.3636394596), np.float64(4812379.798853956))",1.7312643133394325
"(np.float64(434523.3636394596), np.float64(4812379.798853956))","(np.float64(434517.47225019004), np.float64(4812381.299997377))",6.079629848600579
"(np.float64(434517.47225019004), np.float64(4812381.299997377))","(np.float64(434515.0496830109), np.float64(4812381.7678157))",2.4673235945811616
"(np.float64(434515.0496830109), np.float64(4812381.7678157))","(np.float64(434512.62819557404), np.float64(4812382.346692804))",2.489718881507675
"(np.float64(434512.62819557404), np.float64(4812382.346692804))","(np.float64(434507.61479358986), np.float64(4812382.61755903))",5.020713890182501
"(np.float64(434507.61479358986), np.float64(4812382.61755903))","(np.float64(434505.7563413857), np.float64(4812382.857760624))",1.8739107238647188
"(np.float64(434505.7563413857), np.float64(4812382.857760624))","(np.float64(434500.51320701966), np.float64(4812384.463686096))",5.483562218176654
"(np.float64(434500.51320701966), np.float64(4812384.463686096))","(np.float64(434498.0917216995), np.float64(4812385.042568449))",2.4897180432157087
"(np.float64(434498.0917216995), np.float64(4812385.042568449))","(np.float64(434495.6702367789), np.float64(4812385.621451678))",2.48971785817675
"(np.float64(434495.6702367789), np.float64(4812385.621451678))","(np.float64(434490.82294900174), np.float64(4812386.334989129))",4.899523904270646
"(np.float64(434490.82294900174), np.float64(4812386.334989129))","(np.float64(434488.89008112706), np.float64(4812387.242329377))",2.135238756399237
"(np.float64(434488.89008112706), np.float64(4812387.242329377))","(np.float64(434487.03702999715), np.float64(4812388.037825701))",2.0165844618204964
"(np.float64(434487.03702999715), np.float64(4812388.037825701))","(np.float64(434481.3063676074), np.float64(4812389.42636987))",5.896485931090691
"(np.float64(434481.3063676074), np.float64(4812389.42636987))","(np.float64(434479.3681019887), np.float64(4812389.778423329))",1.9699784888328657
"(np.float64(434479.3681019887), np.float64(4812389.778423329))","(np.float64(434473.47565044725), np.float64(4812391.168547531))",6.0542076661260324
"(np.float64(434473.47565044725), np.float64(4812391.168547531))","(np.float64(434471.0552497873), np.float64(4812391.858497568))",2.516817516096144
"(np.float64(434471.0552497873), np.float64(4812391.858497568))","(np.float64(434468.63592975866), np.float64(4812392.659506391))",2.5484749428747584
"(np.float64(434468.63592975866), np.float64(4812392.659506391))","(np.float64(434463.3884903862), np.float64(4812393.821229307))",5.374497195247101
"(np.float64(434463.3884903862), np.float64(4812393.821229307))","(np.float64(434461.78137276333), np.float64(4812394.947545796))",1.962502455148552
"(np.float64(434461.78137276333), np.float64(4812394.947545796))","(np.float64(434456.1445813453), np.float64(4812397.668019558))",6.258945197332924
"(np.float64(434456.1445813453), np.float64(4812397.668019558))","(np.float64(434453.8881374), np.float64(4812398.578517744))",2.4332172581184106
"(np.float64(434453.8881374), np.float64(4812398.578517744))","(np.float64(434451.6306136184), np.float64(4812399.37795878))",2.3948944849610667
